Index,2002/9,2003/6,2004/9,2005/4,2006/9,2007/4,2008/9,2010/9,2011/4,2011/9,2012/4,2012/9,2009/4,2013/7,2013/10,2014/8,2014/12,2015/4,2015/9,2016/6,2016/11,2017/7,2017/10
W2,-0.07,0.18,-0.11,-0.05,-0.32,-0.16,-0.3,-0.73,-1,-1.38,-1.32,-1.09,-0.04,0.67,0.6,1.37,1.18,1.11,0.79,1.31,0.59,1.32,1.81
W5,-0.82,-1.86,-0.71,0.25,0.7,0.45,0.27,1.25,-0.16,-0.67,-0.49,-0.98,0.55,0.97,0.78,0.66,1.18,1.38,-0.24,-0.33,0.82,1.67,1.14
W6,-0.23,0.01,1.34,1.47,0.65,1.87,0.75,1.42,-0.41,-0.82,-0.25,-0.81,2.07,1.12,0.54,0.24,0.57,0.56,0.58,2.07,1.66,0.97,1.16
W10,0.08,0.64,0.09,-0.21,-0.6,0.14,-0.34,0.97,-1,-1.08,-1.35,-1.28,-0.19,0.03,0.36,0.65,0.69,0.59,1.33,1.15,0.77,0.09,0.79
W15,-0.7,1.51,-2.49,-1.82,1.46,1.16,1.33,0.29,0.83,-0.23,-0.36,0.31,1.66,0.64,0.58,0.85,1.31,1.33,1.08,1.01,1.27,2.83,2.04
W3,-0.5,-1.26,-1.17,-1.04,0.47,0.67,1.26,-0.16,-1.76,-0.39,-0.44,-0.48,1.6,-0.08,0.09,-0.61,-2.27,-2.27,0.31,-0.1,0.67,0.54,0.33
W4,-0.27,-0.24,0.06,-0.17,0.92,-0.32,-0.09,-1.42,0.36,-0.73,-0.88,-0.92,-0.37,0.61,0.2,0.61,0.59,-1.08,-0.47,1.13,-0.52,1.02,0.84
W7,0.263,0.153,-1.31,-0.717,-0.536,0.0734,0.0562,-0.128,0.0246,-0.753,-0.602,-0.537,-0.0643,0.122,0.0732,-0.242,-0.0824,-0.236,0.292,-1.08,0.435,0.577,-0.0625
W8,-1.77,-1.89,-0.73,-0.28,0.11,-1.47,0.07,-0.23,-0.79,-1.29,-1.96,-1.66,-0.18,0.44,-0.31,-0.59,-0.7,-0.33,0.02,-0.18,-0.46,0.92,-0.52
W9,-0.52,-0.06,-0.31,-1.73,-0.19,-1.23,-0.53,-1.93,-1.02,-1.12,-0.95,-0.88,-0.49,0.56,0.09,0.15,0.44,0.35,-0.4,-0.04,-0.05,1,1.78
W11,-0.74,-0.12,-0.3,-0.07,-0.51,-0.19,-0.22,-0.23,-0.46,-1.08,-0.64,-0.76,0.26,0.39,0.44,-1.97,0.4,0.21,-0.49,0.31,0.17,-0.15,-1.04
W13,-0.85,-1.15,-0.88,-0.94,-0.54,-0.4,-1.12,0.53,-1.29,-1.17,-0.63,-0.61,-0.14,-0.2,0.11,-0.86,-0.1,-0.21,-0.42,-0.46,0.29,-0.57,-0.76
W14,0.81,1.38,-1.06,-1.76,-0.29,-0.53,-1.15,-1.47,-0.57,-3.04,-2.61,-2.19,0.36,0.15,1.43,1.89,1.94,2.41,2.3,2.29,2.3,2.19,2.41
